timestamp,event_type,details
1766577132.521,info,msg=Module loaded: ThermostatEnv from modules.thermostat_env
1766577132.521,info,msg=Module loaded: Sensor from modules.sensor
1766577132.521,info,msg=Module loaded: Controller from modules.controller
1766577132.522,info,msg=Module loaded: Shield from modules.shield
1766577132.522,info,msg=Module loaded: Estimator from modules.estimator
1766577132.522,runtime_started,mode=time-loop-based
1766577132.522,episode_reset,
1766577132.522,message_sent,"topic=true_temp, sender=thermostat_env"
1766577132.522,message_sent,"topic=raw_temp, sender=sensor"
1766577132.522,module_execution,module=sensor
1766577132.522,message_sent,"topic=state, sender=estimator"
1766577132.522,module_execution,module=estimator
1766577132.522,message_sent,"topic=raw_action, sender=controller"
1766577132.522,module_execution,module=controller
1766577132.522,message_sent,"topic=safe_action, sender=shield"
1766577132.522,module_execution,module=shield
1766577132.522,message_sent,"topic=true_temp, sender=thermostat_env"
1766577132.522,module_execution,module=thermostat_env
1766577132.727,message_sent,"topic=raw_temp, sender=sensor"
1766577132.727,module_execution,module=sensor
1766577132.727,message_sent,"topic=state, sender=estimator"
1766577132.727,module_execution,module=estimator
1766577132.727,message_sent,"topic=raw_action, sender=controller"
1766577132.727,module_execution,module=controller
1766577132.727,message_sent,"topic=safe_action, sender=shield"
1766577132.727,module_execution,module=shield
1766577132.727,message_sent,"topic=true_temp, sender=thermostat_env"
1766577132.727,module_execution,module=thermostat_env
1766577132.931,message_sent,"topic=raw_temp, sender=sensor"
1766577132.931,module_execution,module=sensor
1766577132.931,message_sent,"topic=state, sender=estimator"
1766577132.931,module_execution,module=estimator
1766577132.931,message_sent,"topic=raw_action, sender=controller"
1766577132.931,module_execution,module=controller
1766577132.931,message_sent,"topic=safe_action, sender=shield"
1766577132.931,module_execution,module=shield
1766577132.931,message_sent,"topic=true_temp, sender=thermostat_env"
1766577132.931,module_execution,module=thermostat_env
1766577133.136,message_sent,"topic=raw_temp, sender=sensor"
1766577133.136,module_execution,module=sensor
1766577133.136,message_sent,"topic=state, sender=estimator"
1766577133.136,module_execution,module=estimator
1766577133.136,message_sent,"topic=raw_action, sender=controller"
1766577133.136,module_execution,module=controller
1766577133.136,message_sent,"topic=safe_action, sender=shield"
1766577133.136,module_execution,module=shield
1766577133.136,message_sent,"topic=true_temp, sender=thermostat_env"
1766577133.137,module_execution,module=thermostat_env
